qwk,mae,macro_f1,balanced_accuracy,accuracy,exact_or_adjacent,severe_recall,severe_precision,severe_f1,severe_missed,non_severe_progressed,recall_1,recall_2,recall_3,recall_4,recall_5,recall_6,severe_roc_auc,severe_pr_auc,severe_brier,log_loss,fold,repeat,model
0.953761,0.203125,0.792801,0.786425,0.796875,1,0.896907,0.935484,0.915789,10,6,0.9125,0.797468,0.734375,0.723404,0.727273,0.823529,0.985761,0.975661,0.0447455,0.64024,4,0,random_forest
0.950979,0.20625,0.784442,0.787554,0.8,0.99375,0.90625,0.915789,0.910995,9,8,0.938272,0.797468,0.71875,0.708333,0.75,0.8125,0.988281,0.978514,0.0407912,0.663705,0,1,random_forest
0.947902,0.2125,0.799196,0.794247,0.79375,0.99375,0.927083,0.927083,0.927083,7,7,0.864198,0.730769,0.753846,0.791667,0.875,0.75,0.992606,0.983082,0.0399006,0.640261,1,1,random_forest
0.946774,0.221875,0.774381,0.765,0.78125,0.996875,0.90625,0.966667,0.935484,9,3,0.864198,0.794872,0.753846,0.708333,0.71875,0.75,0.99442,0.986433,0.0374631,0.66177,2,1,random_forest
0.957237,0.178125,0.794777,0.789003,0.825,0.996875,0.90625,0.988636,0.945652,9,1,0.9625,0.746835,0.892308,0.808511,0.636364,0.6875,0.989676,0.980955,0.0424573,0.640042,3,1,random_forest
0.957216,0.190625,0.797546,0.791062,0.809375,1,0.917526,0.946809,0.931937,8,5,0.9625,0.78481,0.765625,0.680851,0.787879,0.764706,0.992927,0.984981,0.0362878,0.615804,4,1,random_forest
0.958946,0.178125,0.827451,0.818603,0.821875,1,0.90625,0.956044,0.930481,9,4,0.925926,0.772152,0.796875,0.729167,0.875,0.8125,0.994838,0.988336,0.0382453,0.647852,0,2,random_forest
0.953938,0.19375,0.80039,0.789199,0.80625,1,0.916667,0.897959,0.907216,8,10,0.864198,0.820513,0.769231,0.8125,0.71875,0.75,0.985584,0.969956,0.0471918,0.641847,1,2,random_forest
0.955367,0.190625,0.81097,0.80921,0.8125,0.996875,0.947917,0.938144,0.943005,5,6,0.938272,0.75641,0.723077,0.8125,0.8125,0.8125,0.992606,0.986116,0.0379348,0.640345,2,2,random_forest
0.959335,0.171875,0.817864,0.812109,0.83125,0.996875,0.947917,0.947917,0.947917,5,5,0.95,0.835443,0.769231,0.808511,0.69697,0.8125,0.992234,0.98278,0.0381664,0.628361,3,2,random_forest
0.952413,0.2125,0.77528,0.77925,0.7875,1,0.886598,0.977273,0.92973,11,2,0.8875,0.78481,0.828125,0.595745,0.69697,0.882353,0.993666,0.986239,0.0364054,0.66074,4,2,random_forest
0.944702,0.228125,0.769211,0.765182,0.778125,0.99375,0.875,0.913043,0.893617,12,8,0.888889,0.759494,0.734375,0.708333,0.75,0.75,0.979306,0.955002,0.0578828,0.777744,0,0,hist_gb
0.95702,0.175,0.808957,0.805976,0.83125,0.99375,0.958333,0.958333,0.958333,4,4,0.91358,0.871795,0.769231,0.8125,0.71875,0.75,0.992792,0.984092,0.0205314,0.580082,1,0,hist_gb
0.943416,0.253125,0.734333,0.74038,0.746875,1,0.84375,0.931034,0.885246,15,6,0.938272,0.641026,0.769231,0.5625,0.71875,0.8125,0.986375,0.968364,0.0478402,0.856199,2,0,hist_gb
0.949943,0.215625,0.794564,0.799074,0.7875,0.996875,0.9375,0.891089,0.913706,6,11,0.8875,0.759494,0.707692,0.744681,0.757576,0.9375,0.989909,0.978406,0.0442287,0.665255,3,0,hist_gb
0.946643,0.228125,0.770639,0.766717,0.775,0.996875,0.896907,0.935484,0.915789,10,6,0.9125,0.734177,0.71875,0.744681,0.666667,0.823529,0.984698,0.976369,0.0342007,0.702232,4,0,hist_gb
0.947222,0.225,0.774773,0.786337,0.78125,0.99375,0.895833,0.934783,0.914894,10,6,0.901235,0.759494,0.703125,0.729167,0.6875,0.9375,0.986375,0.973418,0.044048,0.778932,0,1,hist_gb
0.950183,0.20625,0.797389,0.790667,0.796875,0.996875,0.947917,0.957895,0.95288,5,4,0.851852,0.769231,0.8,0.791667,0.71875,0.8125,0.993071,0.984917,0.028463,0.663663,1,1,hist_gb
0.953321,0.203125,0.794507,0.793204,0.796875,1,0.916667,0.956522,0.93617,8,4,0.851852,0.794872,0.8,0.75,0.6875,0.875,0.993397,0.983607,0.0325938,0.741256,2,1,hist_gb
0.95137,0.203125,0.78841,0.778756,0.8,0.996875,0.895833,0.955556,0.924731,10,4,0.9625,0.721519,0.784615,0.787234,0.666667,0.75,0.987119,0.977949,0.0354482,0.669567,3,1,hist_gb
0.951748,0.21875,0.756457,0.759088,0.78125,1,0.917526,0.89899,0.908163,8,10,0.9375,0.797468,0.6875,0.638298,0.787879,0.705882,0.988859,0.97416,0.0427311,0.673681,4,1,hist_gb
0.947656,0.209375,0.799501,0.784279,0.796875,0.99375,0.875,0.954545,0.913043,12,4,0.888889,0.759494,0.796875,0.729167,0.78125,0.75,0.992141,0.983209,0.0373877,0.668895,0,2,hist_gb
0.955196,0.190625,0.824664,0.816924,0.809375,1,0.90625,0.90625,0.90625,9,9,0.876543,0.782051,0.784615,0.770833,0.75,0.9375,0.980794,0.959067,0.0471455,0.623996,1,2,hist_gb
0.945098,0.240625,0.739702,0.737652,0.759375,1,0.916667,0.907216,0.911917,8,9,0.901235,0.74359,0.676923,0.729167,0.6875,0.6875,0.988886,0.978938,0.0407933,0.688947,2,2,hist_gb
0.955654,0.190625,0.792726,0.791814,0.8125,0.996875,0.916667,0.916667,0.916667,8,8,0.95,0.835443,0.753846,0.702128,0.69697,0.8125,0.993955,0.985571,0.0326259,0.569093,3,2,hist_gb
